Binary representation	Minimal Expression	Bias	Average Sensitivity	Boolean Complexity	NCF	Isomorphisms
0001011010011011	(a * ((c * d) + (!c * !d))) + (b * ((!a * !c * d) + (c * !d))) + (!b * c * d)	8	2.5	14	False	384
0001011010011110	(b * ((!c * d) + (c * !d))) + (a * !c * !d) + (!b * c * d)	8	2.5	11	False	192
0001011010101011	(a * (!d + (b * c))) + (!a * d * ((!b * c) + (b * !c))) + (b * c * !d)	8	2.5	13	False	64
0001011010111100	(!d * ((a * (!b + !c)) + (!a * b * c))) + (d * ((!b * c) + (b * !c)))	8	2.5	12	False	16
0001011011101010	(a * (!d + (!b * !c))) + (!a * d * ((!b * c) + (b * !c))) + (b * c * !d)	8	2.5	13	False	96
0001011110010110	(b * ((!c * d) + (c * !d))) + (!b * ((c * d) + (a * !c * !d))) + (!a * c * d)	8	2.5	14	False	192
0001011110101001	(a * !d * (!b + !c)) + (b * ((c * (!a + d)) + (!a * d))) + (c * !a * d)	8	2.5	13	False	64
0001011111101000	(!a * ((b * (c + d)) + (c * d))) + (a * ((!c * !d) + (!b * (!c + !d))))	8	2.5	12	False	192
0001100011100111	(b * ((a * d) + (!c * !a * !d))) + (!b * ((c * !a * d) + (a * !d))) + (a * ((!c * d) + (c * !d)))	8	2.5	17	False	96
0001100111100011	(b * ((d * c) + (!a * !d * !c))) + (a * ((!d * c) + (!b * !c))) + (!a * d * c)	8	2.5	14	False	192
0001100111101001	(a * !b * (!c + !d)) + (c * d * (!a + b)) + (!c * !d * b)	8	2.5	11	False	192
0001101111100100	(a * ((!c * d) + (!b * !d))) + (!a * ((c * d) + (b * !d)))	8	2.5	10	False	384
0001011010101101	(c * !a * ((!b * d) + (b * !d))) + (!c * ((b * d) + (a * !d))) + (a * ((b * d) + (!b * !d)))	8	2.75	16	False	192
0001100111100110	(c * ((!a * d) + (a * !d))) + (!c * ((a * d) + (b * !a * !d))) + (!b * a * !d)	8	2.75	14	False	192
0001011001101011	(d * ((!a * ((!b * c) + (b * !c))) + (a * !b * !c))) + (a * ((b * (c + !d)) + (c * !d))) + (b * c * !d)	8	3.0	18	False	48
0001111011100001	(c * d * ((a * b) + (!a * !b))) + (((!a * b) + (a * !b)) * (!c + !d))	8	3.0	12	False	24
0011110011000011	(a * ((b * c) + (!b * !c))) + (!a * ((!b * c) + (b * !c)))	8	3.0	10	False	96
0001011011101001	(b * ((c * ((d * a) + (!d * !a))) + (!c * d * !a))) + (a * ((!b * (!c + !d)) + (!c * !d))) + (d * !a * !b * c)	8	3.25	19	False	48
0110100110010110	(((!c * d) + (c * !d)) * ((a * b) + (!a * !b))) + (((c * d) + (!c * !d)) * ((!a * b) + (a * !b)))	8	4.0	16	False	2
